crop,topology_zone,topology_description,salinity_relevance,heat_relevance,drought_relevance,genetic_hotspot_score,reason
Maize,Coastal Plains,"High humidity, saline pockets, cyclone exposure",0.58,0.47,0.48,0.58,Traditional Maize varieties evolved under coastal plains conditions
Maize,Deccan Plateau,"Heat stress, drought-prone basalt soils",0.56,0.48,0.48,0.46,Traditional Maize varieties evolved under deccan plateau conditions
Maize,Central Tribal Belt,"Rainfed farming, genetic landraces",0.31,0.54,0.48,0.41,Traditional Maize varieties evolved under central tribal belt conditions
Maize,Indo-Gangetic Plains,"Alluvial soils, temperature extremes",0.3,0.51,0.48,0.5,Traditional Maize varieties evolved under indo-gangetic plains conditions
Maize,Arid & Semi-Arid Zones,"Low rainfall, high evapotranspiration",0.4,0.35,0.48,0.6,Traditional Maize varieties evolved under arid & semi-arid zones conditions
Maize,Eastern Ghats & Hills,"Undulating terrain, microclimates",0.3,0.68,0.48,0.5,Traditional Maize varieties evolved under eastern ghats & hills conditions
Cotton,Coastal Plains,"High humidity, saline pockets, cyclone exposure",0.54,0.51,0.48,0.54,Traditional Cotton varieties evolved under coastal plains conditions
Cotton,Deccan Plateau,"Heat stress, drought-prone basalt soils",0.46,0.35,0.48,0.76,Traditional Cotton varieties evolved under deccan plateau conditions
Cotton,Central Tribal Belt,"Rainfed farming, genetic landraces",0.4,0.32,0.48,0.8,Traditional Cotton varieties evolved under central tribal belt conditions
Cotton,Indo-Gangetic Plains,"Alluvial soils, temperature extremes",0.61,0.46,0.48,0.61,Traditional Cotton varieties evolved under indo-gangetic plains conditions
Cotton,Arid & Semi-Arid Zones,"Low rainfall, high evapotranspiration",0.64,0.47,0.48,0.84,Traditional Cotton varieties evolved under arid & semi-arid zones conditions
Cotton,Eastern Ghats & Hills,"Undulating terrain, microclimates",0.35,0.57,0.48,0.55,Traditional Cotton varieties evolved under eastern ghats & hills conditions
